,CRSArrTime,DayOfWeek,DayofMonth,Dest,DestUTC,Distance,FlightDate,FltTime,Marketing_Airline_Network,Month,OrgUTC,Origin,Quarter,Tail_Number,TaxiIn,TaxiOut,WheelsOff,WheelsOn,Year,fltID,dtyRepTmUTC,dtyRelTmUTC
19,1545.0,5.0,28.0,ORH,2020-02-28 20:37:00+00:00,588.0,2020-02-28,0 days 01:45:00,DL,2.0,2020-02-28 18:52:00+00:00,DTW,1.0,N601XJ,5.0,19.0,1511.0,1632.0,2020.0,37403.0,2020-02-28 18:04:00+00:00,2020-02-28 21:22:00+00:00
20,1657.0,5.0,28.0,BHM,2020-02-28 21:38:00+00:00,866.0,2020-02-28,0 days 02:29:00,DL,2.0,2020-02-28 19:09:00+00:00,LGA,1.0,N291SY,3.0,22.0,1531.0,1635.0,2020.0,37010.0,2020-02-28 18:24:00+00:00,2020-02-28 21:21:00+00:00
21,1449.0,5.0,28.0,SUN,2020-02-28 20:36:00+00:00,222.0,2020-02-28,0 days 00:58:00,DL,2.0,2020-02-28 19:38:00+00:00,SLC,1.0,N242SY,3.0,14.0,1352.0,1433.0,2020.0,36597.0,2020-02-28 18:24:00+00:00,2020-02-28 21:21:00+00:00
22,1735.0,5.0,28.0,MSN,2020-02-28 22:35:00+00:00,1174.0,2020-02-28,0 days 02:54:00,DL,2.0,2020-02-28 19:41:00+00:00,SLC,1.0,N253SY,4.0,14.0,1355.0,1731.0,2020.0,37294.0,2020-02-28 18:56:00+00:00,2020-02-28 21:55:00+00:00
23,1631.0,5.0,28.0,MLI,2020-02-28 21:10:00+00:00,373.0,2020-02-28,0 days 01:19:00,DL,2.0,2020-02-28 19:51:00+00:00,DTW,1.0,N914EV,3.0,16.0,1607.0,1607.0,2020.0,37549.0,2020-02-28 18:56:00+00:00,2020-02-28 21:55:00+00:00
24,1758.0,5.0,28.0,MKE,2020-02-28 22:59:00+00:00,1247.0,2020-02-28,0 days 03:07:00,DL,2.0,2020-02-28 19:52:00+00:00,SLC,1.0,N295SY,4.0,20.0,1412.0,1755.0,2020.0,37095.0,2020-02-28 19:07:00+00:00,2020-02-28 22:02:00+00:00
25,1728.0,5.0,28.0,RDU,2020-02-28 21:17:00+00:00,390.0,2020-02-28,0 days 01:21:00,DL,2.0,2020-02-28 19:56:00+00:00,CVG,1.0,N326PQ,16.0,9.0,1605.0,1701.0,2020.0,3138.0,2020-02-28 19:07:00+00:00,2020-02-28 22:02:00+00:00
26,1849.0,5.0,28.0,TYS,2020-02-28 22:20:00+00:00,648.0,2020-02-28,0 days 02:04:00,DL,2.0,2020-02-28 20:16:00+00:00,LGA,1.0,N478PX,2.0,23.0,1639.0,1818.0,2020.0,1293.0,2020-02-28 19:31:00+00:00,2020-02-28 22:58:00+00:00
27,1831.0,5.0,28.0,CMH,2020-02-28 22:13:00+00:00,479.0,2020-02-28,0 days 01:43:00,DL,2.0,2020-02-28 20:30:00+00:00,LGA,1.0,N875RW,6.0,18.0,1648.0,1807.0,2020.0,133326.0,2020-02-28 19:31:00+00:00,2020-02-28 22:58:00+00:00
28,1833.0,5.0,28.0,BWI,2020-02-28 22:35:00+00:00,430.0,2020-02-28,0 days 01:44:00,DL,2.0,2020-02-28 20:51:00+00:00,CVG,1.0,N801AY,5.0,33.0,1724.0,1830.0,2020.0,19337.0,2020-02-28 20:06:00+00:00,2020-02-28 23:36:00+00:00
