,CRSArrTime,DayOfWeek,DayofMonth,Dest,DestUTC,Distance,FlightDate,FltTime,Marketing_Airline_Network,Month,OrgUTC,Origin,Quarter,Tail_Number,TaxiIn,TaxiOut,WheelsOff,WheelsOn,Year,fltID
207,1751.0,6.0,29.0,SEA,2020-03-01 00:26:00+00:00,954.0,2020-02-29,0 days 02:28:00,DL,2.0,2020-02-29 21:58:00+00:00,LAX,1.0,N377DE,5.0,10.0,1508.0,1721.0,2020.0,90542.0
208,2204.0,6.0,29.0,SEA,2020-03-01 05:13:00+00:00,954.0,2020-02-29,0 days 03:08:00,DL,2.0,2020-03-01 02:05:00+00:00,LAX,1.0,N3739P,35.0,10.0,1915.0,2138.0,2020.0,91294.0
0,855.0,6.0,1.0,LAX,2020-02-01 15:58:00+00:00,954.0,2020-02-01,0 days 02:47:00,DL,2.0,2020-02-01 13:11:00+00:00,SEA,1.0,N919DU,17.0,17.0,628.0,841.0,2020.0,49569.0
1,1208.0,6.0,1.0,LAX,2020-02-01 19:02:00+00:00,954.0,2020-02-01,0 days 02:41:00,DL,2.0,2020-02-01 16:21:00+00:00,SEA,1.0,N871DN,7.0,28.0,949.0,1155.0,2020.0,49630.0
13,1208.0,1.0,3.0,LAX,2020-02-03 18:42:00+00:00,954.0,2020-02-03,0 days 02:20:00,DL,2.0,2020-02-03 16:22:00+00:00,SEA,1.0,N390DA,11.0,15.0,937.0,1131.0,2020.0,54406.0
150,2049.0,6.0,29.0,DTW,2020-03-01 00:38:00+00:00,1979.0,2020-02-29,0 days 04:09:00,DL,2.0,2020-02-29 20:29:00+00:00,LAX,1.0,N669DN,10.0,17.0,1346.0,2028.0,2020.0,92116.0
151,612.0,6.0,29.0,DTW,2020-03-01 09:45:00+00:00,1979.0,2020-02-29,0 days 03:55:00,DL,2.0,2020-03-01 05:50:00+00:00,LAX,1.0,N845DN,5.0,11.0,2301.0,540.0,2020.0,91998.0
0,1051.0,6.0,1.0,LAX,2020-02-01 17:13:00+00:00,1979.0,2020-02-01,0 days 04:45:00,DL,2.0,2020-02-01 12:28:00+00:00,DTW,1.0,N585NW,10.0,31.0,859.0,1003.0,2020.0,49688.0
1,1427.0,6.0,1.0,LAX,2020-02-01 20:58:00+00:00,1979.0,2020-02-01,0 days 04:36:00,DL,2.0,2020-02-01 16:22:00+00:00,DTW,1.0,N6708D,8.0,27.0,1249.0,1350.0,2020.0,49803.0
191,1638.0,6.0,29.0,SFO,2020-02-29 23:19:00+00:00,337.0,2020-02-29,0 days 01:10:00,DL,2.0,2020-02-29 22:09:00+00:00,LAX,1.0,N336NB,5.0,9.0,1518.0,1614.0,2020.0,91985.0
192,1913.0,6.0,29.0,SFO,2020-03-01 01:55:00+00:00,337.0,2020-02-29,0 days 01:06:00,DL,2.0,2020-03-01 00:49:00+00:00,LAX,1.0,N335NW,4.0,8.0,1757.0,1851.0,2020.0,92015.0
193,2241.0,6.0,29.0,SFO,2020-03-01 05:23:00+00:00,337.0,2020-02-29,0 days 01:13:00,DL,2.0,2020-03-01 04:10:00+00:00,LAX,1.0,N349NB,8.0,9.0,2119.0,2215.0,2020.0,90865.0
0,803.0,6.0,1.0,LAX,2020-02-01 14:55:00+00:00,337.0,2020-02-01,0 days 01:36:00,DL,2.0,2020-02-01 13:19:00+00:00,SFO,1.0,N826DN,29.0,14.0,633.0,726.0,2020.0,49048.0
2,1258.0,6.0,1.0,LAX,2020-02-01 20:34:00+00:00,337.0,2020-02-01,0 days 01:23:00,DL,2.0,2020-02-01 19:11:00+00:00,SFO,1.0,N357NB,6.0,23.0,1234.0,1328.0,2020.0,49018.0
18,2126.0,1.0,3.0,LAX,2020-02-04 04:29:00+00:00,337.0,2020-02-03,0 days 01:30:00,DL,2.0,2020-02-04 02:59:00+00:00,SFO,1.0,N332NW,6.0,33.0,2032.0,2123.0,2020.0,54597.0
103,1521.0,6.0,29.0,BOS,2020-02-29 19:18:00+00:00,1121.0,2020-02-29,0 days 02:51:00,DL,2.0,2020-02-29 16:27:00+00:00,MCO,1.0,N391DN,6.0,20.0,1247.0,1512.0,2020.0,91179.0
104,1835.0,6.0,29.0,BOS,2020-02-29 22:34:00+00:00,1121.0,2020-02-29,0 days 02:46:00,DL,2.0,2020-02-29 19:48:00+00:00,MCO,1.0,N338NW,5.0,11.0,1559.0,1829.0,2020.0,90798.0
0,1130.0,6.0,1.0,MCO,2020-02-01 15:52:00+00:00,1121.0,2020-02-01,0 days 03:44:00,DL,2.0,2020-02-01 12:08:00+00:00,BOS,1.0,N341DN,16.0,19.0,827.0,1136.0,2020.0,48933.0
1,1456.0,6.0,1.0,MCO,2020-02-01 19:09:00+00:00,1121.0,2020-02-01,0 days 03:34:00,DL,2.0,2020-02-01 15:35:00+00:00,BOS,1.0,N370DN,8.0,11.0,1146.0,1501.0,2020.0,48005.0
115,2246.0,6.0,29.0,JFK,2020-03-01 02:22:00+00:00,944.0,2020-02-29,0 days 02:13:00,DL,2.0,2020-03-01 00:09:00+00:00,MCO,1.0,N395DZ,6.0,8.0,2017.0,2216.0,2020.0,91653.0
0,1101.0,6.0,1.0,MCO,2020-02-01 15:29:00+00:00,944.0,2020-02-01,0 days 03:27:00,DL,2.0,2020-02-01 12:02:00+00:00,JFK,1.0,N384DN,12.0,38.0,840.0,1117.0,2020.0,49749.0
137,1831.0,6.0,29.0,LGA,2020-02-29 22:15:00+00:00,950.0,2020-02-29,0 days 02:21:00,DL,2.0,2020-02-29 19:54:00+00:00,MCO,1.0,N355DN,6.0,11.0,1605.0,1809.0,2020.0,91590.0
138,1936.0,6.0,29.0,LGA,2020-02-29 23:17:00+00:00,950.0,2020-02-29,0 days 02:18:00,DL,2.0,2020-02-29 20:59:00+00:00,MCO,1.0,N331DN,7.0,9.0,1708.0,1910.0,2020.0,90984.0
0,1111.0,6.0,1.0,MCO,2020-02-01 15:02:00+00:00,950.0,2020-02-01,0 days 02:57:00,DL,2.0,2020-02-01 12:05:00+00:00,LGA,1.0,N337DN,8.0,15.0,820.0,1054.0,2020.0,49343.0
3,2058.0,6.0,1.0,MCO,2020-02-02 00:59:00+00:00,950.0,2020-02-01,0 days 03:10:00,DL,2.0,2020-02-01 21:49:00+00:00,LGA,1.0,N342DN,9.0,14.0,1803.0,2050.0,2020.0,49865.0
168,1637.0,6.0,29.0,MSP,2020-02-29 21:31:00+00:00,1310.0,2020-02-29,0 days 03:29:00,DL,2.0,2020-02-29 18:02:00+00:00,MCO,1.0,N900PC,3.0,15.0,1417.0,1628.0,2020.0,91184.0
169,2059.0,6.0,29.0,MSP,2020-03-01 01:47:00+00:00,1310.0,2020-02-29,0 days 03:22:00,DL,2.0,2020-02-29 22:25:00+00:00,MCO,1.0,N592NW,2.0,13.0,1838.0,2045.0,2020.0,90800.0
170,2327.0,6.0,29.0,MSP,2020-03-01 04:12:00+00:00,1310.0,2020-02-29,0 days 03:17:00,DL,2.0,2020-03-01 00:55:00+00:00,MCO,1.0,N314DN,2.0,12.0,2107.0,2310.0,2020.0,91881.0
0,1130.0,6.0,1.0,MCO,2020-02-01 15:12:00+00:00,1310.0,2020-02-01,0 days 03:08:00,DL,2.0,2020-02-01 12:04:00+00:00,MSP,1.0,N6715C,12.0,22.0,726.0,1100.0,2020.0,48716.0
1,1306.0,6.0,1.0,MCO,2020-02-01 17:21:00+00:00,1310.0,2020-02-01,0 days 03:08:00,DL,2.0,2020-02-01 14:13:00+00:00,MSP,1.0,N658DL,4.0,30.0,943.0,1317.0,2020.0,48938.0
8,1306.0,7.0,2.0,MCO,2020-02-02 16:42:00+00:00,1310.0,2020-02-02,0 days 03:00:00,DL,2.0,2020-02-02 13:42:00+00:00,MSP,1.0,N665DN,8.0,14.0,856.0,1234.0,2020.0,50985.0
30,2226.0,6.0,29.0,SEA,2020-03-01 04:58:00+00:00,2554.0,2020-02-29,0 days 06:08:00,DL,2.0,2020-02-29 22:50:00+00:00,MCO,1.0,N6706Q,9.0,17.0,1907.0,2149.0,2020.0,90551.0
0,1749.0,6.0,1.0,MCO,2020-02-01 21:52:00+00:00,2554.0,2020-02-01,0 days 05:15:00,DL,2.0,2020-02-01 16:37:00+00:00,SEA,1.0,N6716C,13.0,22.0,959.0,1739.0,2020.0,48357.0
189,1638.0,6.0,29.0,DTW,2020-02-29 20:36:00+00:00,957.0,2020-02-29,0 days 02:42:00,DL,2.0,2020-02-29 17:54:00+00:00,MCO,1.0,N101DQ,8.0,13.0,1407.0,1628.0,2020.0,90952.0
190,1851.0,6.0,29.0,DTW,2020-02-29 22:56:00+00:00,957.0,2020-02-29,0 days 02:36:00,DL,2.0,2020-02-29 20:20:00+00:00,MCO,1.0,N581NW,9.0,14.0,1634.0,1847.0,2020.0,91538.0
191,2207.0,6.0,29.0,DTW,2020-03-01 01:57:00+00:00,957.0,2020-02-29,0 days 02:36:00,DL,2.0,2020-02-29 23:21:00+00:00,MCO,1.0,N588NW,7.0,15.0,1936.0,2150.0,2020.0,92070.0
0,850.0,6.0,1.0,MCO,2020-02-01 12:52:00+00:00,957.0,2020-02-01,0 days 02:55:00,DL,2.0,2020-02-01 09:57:00+00:00,DTW,1.0,N332DN,9.0,26.0,623.0,843.0,2020.0,49869.0
1,1000.0,6.0,1.0,MCO,2020-02-01 14:01:00+00:00,957.0,2020-02-01,0 days 02:58:00,DL,2.0,2020-02-01 11:03:00+00:00,DTW,1.0,N6707A,6.0,39.0,742.0,955.0,2020.0,49507.0
88,1507.0,5.0,14.0,MCO,2020-02-14 19:58:00+00:00,957.0,2020-02-14,0 days 03:17:00,DL,2.0,2020-02-14 16:41:00+00:00,DTW,1.0,N694DL,9.0,56.0,1337.0,1549.0,2020.0,112385.0
119,1219.0,6.0,29.0,EWR,2020-02-29 16:00:00+00:00,200.0,2020-02-29,0 days 01:09:00,DL,2.0,2020-02-29 14:51:00+00:00,BOS,1.0,N210JQ,5.0,17.0,1108.0,1155.0,2020.0,133434.0
120,1542.0,6.0,29.0,EWR,2020-02-29 19:30:00+00:00,200.0,2020-02-29,0 days 01:19:00,DL,2.0,2020-02-29 18:11:00+00:00,BOS,1.0,N874RW,20.0,16.0,1427.0,1510.0,2020.0,133456.0
0,915.0,6.0,1.0,BOS,2020-02-01 13:12:00+00:00,200.0,2020-02-01,0 days 01:20:00,DL,2.0,2020-02-01 11:52:00+00:00,EWR,1.0,N208JQ,7.0,29.0,821.0,905.0,2020.0,126651.0
6,1345.0,1.0,3.0,BOS,2020-02-03 17:28:00+00:00,200.0,2020-02-03,0 days 01:02:00,DL,2.0,2020-02-03 16:26:00+00:00,EWR,1.0,N202JQ,8.0,12.0,1238.0,1320.0,2020.0,126930.0
189,1839.0,6.0,29.0,JFK,2020-02-29 23:25:00+00:00,187.0,2020-02-29,0 days 02:22:00,DL,2.0,2020-02-29 21:03:00+00:00,BOS,1.0,N343NB,47.0,49.0,1752.0,1838.0,2020.0,92153.0
0,912.0,6.0,1.0,BOS,2020-02-01 12:54:00+00:00,187.0,2020-02-01,0 days 01:07:00,DL,2.0,2020-02-01 11:47:00+00:00,JFK,1.0,N342NB,4.0,24.0,811.0,850.0,2020.0,48711.0
361,2129.0,5.0,28.0,LGA,2020-02-29 01:17:00+00:00,184.0,2020-02-28,0 days 01:21:00,DL,2.0,2020-02-28 23:56:00+00:00,BOS,1.0,N815MD,13.0,22.0,2018.0,2104.0,2020.0,133362.0
362,830.0,6.0,29.0,LGA,2020-02-29 13:19:00+00:00,184.0,2020-02-29,0 days 01:14:00,DL,2.0,2020-02-29 12:05:00+00:00,BOS,1.0,N217JQ,4.0,19.0,824.0,915.0,2020.0,133465.0
363,1056.0,6.0,29.0,LGA,2020-02-29 14:46:00+00:00,184.0,2020-02-29,0 days 01:23:00,DL,2.0,2020-02-29 13:23:00+00:00,BOS,1.0,N860RW,27.0,17.0,940.0,1019.0,2020.0,133487.0
364,1227.0,6.0,29.0,LGA,2020-02-29 16:04:00+00:00,184.0,2020-02-29,0 days 01:10:00,DL,2.0,2020-02-29 14:54:00+00:00,BOS,1.0,N211JQ,9.0,21.0,1115.0,1155.0,2020.0,133517.0
365,1522.0,6.0,29.0,LGA,2020-02-29 18:59:00+00:00,184.0,2020-02-29,0 days 01:00:00,DL,2.0,2020-02-29 17:59:00+00:00,BOS,1.0,N243JQ,6.0,14.0,1413.0,1453.0,2020.0,133522.0
366,1829.0,6.0,29.0,LGA,2020-02-29 22:00:00+00:00,184.0,2020-02-29,0 days 01:08:00,DL,2.0,2020-02-29 20:52:00+00:00,BOS,1.0,N210JQ,9.0,16.0,1708.0,1751.0,2020.0,133437.0
0,1024.0,6.0,1.0,BOS,2020-02-01 13:59:00+00:00,184.0,2020-02-01,0 days 01:01:00,DL,2.0,2020-02-01 12:58:00+00:00,LGA,1.0,N205JQ,6.0,14.0,912.0,953.0,2020.0,126721.0
10,820.0,1.0,3.0,BOS,2020-02-03 12:25:00+00:00,184.0,2020-02-03,0 days 00:58:00,DL,2.0,2020-02-03 11:27:00+00:00,LGA,1.0,N129DU,9.0,13.0,740.0,816.0,2020.0,53379.0
11,922.0,1.0,3.0,BOS,2020-02-03 13:00:00+00:00,184.0,2020-02-03,0 days 01:01:00,DL,2.0,2020-02-03 11:59:00+00:00,LGA,1.0,N276SY,9.0,14.0,813.0,851.0,2020.0,22799.0
60,1025.0,4.0,6.0,BOS,2020-02-06 15:02:00+00:00,184.0,2020-02-06,0 days 02:09:00,DL,2.0,2020-02-06 12:53:00+00:00,LGA,1.0,N208JQ,66.0,31.0,924.0,956.0,2020.0,127948.0
86,1920.0,5.0,7.0,BOS,2020-02-08 01:08:00+00:00,184.0,2020-02-07,0 days 01:19:00,DL,2.0,2020-02-07 23:49:00+00:00,LGA,1.0,N111NG,5.0,30.0,2019.0,2103.0,2020.0,94527.0
149,1349.0,6.0,29.0,MSP,2020-02-29 18:26:00+00:00,1124.0,2020-02-29,0 days 03:01:00,DL,2.0,2020-02-29 15:25:00+00:00,BOS,1.0,N369NW,6.0,16.0,1141.0,1320.0,2020.0,91848.0
150,1953.0,6.0,29.0,MSP,2020-03-01 00:34:00+00:00,1124.0,2020-02-29,0 days 03:15:00,DL,2.0,2020-02-29 21:19:00+00:00,BOS,1.0,N324DX,8.0,27.0,1746.0,1926.0,2020.0,91693.0
0,1337.0,6.0,1.0,BOS,2020-02-01 17:39:00+00:00,1124.0,2020-02-01,0 days 02:44:00,DL,2.0,2020-02-01 14:55:00+00:00,MSP,1.0,N393DN,5.0,23.0,1018.0,1334.0,2020.0,48677.0
48,2155.0,1.0,10.0,BOS,2020-02-11 01:17:00+00:00,1124.0,2020-02-10,0 days 02:17:00,DL,2.0,2020-02-10 23:00:00+00:00,MSP,1.0,N376DN,7.0,10.0,1810.0,2110.0,2020.0,57925.0
42,1018.0,6.0,29.0,SEA,2020-02-29 16:58:00+00:00,2496.0,2020-02-29,0 days 06:18:00,DL,2.0,2020-02-29 10:40:00+00:00,BOS,1.0,N377DE,10.0,28.0,708.0,948.0,2020.0,92137.0
5,640.0,3.0,5.0,BOS,2020-02-06 10:22:00+00:00,2496.0,2020-02-05,0 days 04:58:00,DL,2.0,2020-02-06 05:24:00+00:00,SEA,1.0,N387DA,11.0,15.0,2239.0,611.0,2020.0,75104.0
156,1506.0,6.0,29.0,DTW,2020-02-29 18:51:00+00:00,632.0,2020-02-29,0 days 02:07:00,DL,2.0,2020-02-29 16:44:00+00:00,BOS,1.0,N126DU,8.0,22.0,1306.0,1443.0,2020.0,91378.0
157,1935.0,6.0,29.0,DTW,2020-02-29 23:11:00+00:00,632.0,2020-02-29,0 days 01:58:00,DL,2.0,2020-02-29 21:13:00+00:00,BOS,1.0,N343DN,5.0,17.0,1730.0,1906.0,2020.0,91572.0
0,1034.0,6.0,1.0,BOS,2020-02-01 14:26:00+00:00,632.0,2020-02-01,0 days 01:57:00,DL,2.0,2020-02-01 12:29:00+00:00,DTW,1.0,N120DU,6.0,30.0,859.0,1020.0,2020.0,48090.0
31,2231.0,4.0,6.0,BOS,2020-02-07 02:47:00+00:00,632.0,2020-02-06,0 days 01:54:00,DL,2.0,2020-02-07 00:53:00+00:00,DTW,1.0,N357DN,8.0,25.0,2118.0,2239.0,2020.0,76790.0
58,1840.0,6.0,29.0,MIA,2020-02-29 22:14:00+00:00,1258.0,2020-02-29,0 days 03:15:00,DL,2.0,2020-02-29 18:59:00+00:00,BOS,1.0,N374NW,8.0,15.0,1514.0,1806.0,2020.0,91304.0
1,2327.0,6.0,1.0,BOS,2020-02-02 03:20:00+00:00,1258.0,2020-02-01,0 days 03:04:00,DL,2.0,2020-02-02 00:16:00+00:00,MIA,1.0,N377NW,9.0,34.0,2050.0,2311.0,2020.0,49053.0
35,1802.0,6.0,29.0,FLL,2020-02-29 22:20:00+00:00,1237.0,2020-02-29,0 days 03:20:00,DL,2.0,2020-02-29 19:00:00+00:00,BOS,1.0,N323DN,6.0,22.0,1522.0,1814.0,2020.0,91454.0
0,1105.0,6.0,1.0,BOS,2020-02-01 14:48:00+00:00,1237.0,2020-02-01,0 days 02:55:00,DL,2.0,2020-02-01 11:53:00+00:00,FLL,1.0,N333DX,6.0,13.0,806.0,1042.0,2020.0,48548.0
42,1912.0,6.0,29.0,PBI,2020-02-29 23:00:00+00:00,1197.0,2020-02-29,0 days 03:05:00,DL,2.0,2020-02-29 19:55:00+00:00,BOS,1.0,N322US,5.0,15.0,1610.0,1855.0,2020.0,91125.0
0,2304.0,6.0,1.0,BOS,2020-02-02 02:44:00+00:00,1197.0,2020-02-01,0 days 02:41:00,DL,2.0,2020-02-02 00:03:00+00:00,PBI,1.0,N362NW,7.0,12.0,2015.0,2237.0,2020.0,48888.0
118,1640.0,6.0,29.0,MSP,2020-02-29 21:42:00+00:00,1008.0,2020-02-29,0 days 02:57:00,DL,2.0,2020-02-29 18:45:00+00:00,EWR,1.0,N104DU,7.0,23.0,1508.0,1635.0,2020.0,90563.0
0,1400.0,6.0,1.0,EWR,2020-02-01 17:36:00+00:00,1008.0,2020-02-01,0 days 02:31:00,DL,2.0,2020-02-01 15:05:00+00:00,MSP,1.0,N825SK,6.0,17.0,1022.0,1330.0,2020.0,21857.0
156,1131.0,6.0,29.0,DTW,2020-02-29 15:13:00+00:00,488.0,2020-02-29,0 days 01:41:00,DL,2.0,2020-02-29 13:32:00+00:00,EWR,1.0,N116DU,4.0,18.0,950.0,1109.0,2020.0,90417.0
157,1456.0,6.0,29.0,DTW,2020-02-29 18:20:00+00:00,488.0,2020-02-29,0 days 01:33:00,DL,2.0,2020-02-29 16:47:00+00:00,EWR,1.0,N135EV,7.0,9.0,1256.0,1413.0,2020.0,9492.0
158,1909.0,6.0,29.0,DTW,2020-02-29 22:50:00+00:00,488.0,2020-02-29,0 days 01:50:00,DL,2.0,2020-02-29 21:00:00+00:00,EWR,1.0,N170PQ,8.0,21.0,1721.0,1842.0,2020.0,37890.0
5,1209.0,7.0,2.0,EWR,2020-02-02 15:43:00+00:00,488.0,2020-02-02,0 days 01:27:00,DL,2.0,2020-02-02 14:16:00+00:00,DTW,1.0,N374CA,8.0,14.0,1030.0,1135.0,2020.0,123539.0
12,1932.0,1.0,3.0,EWR,2020-02-03 23:13:00+00:00,488.0,2020-02-03,0 days 01:30:00,DL,2.0,2020-02-03 21:43:00+00:00,DTW,1.0,N110DU,7.0,19.0,1802.0,1906.0,2020.0,54034.0
71,2219.0,4.0,13.0,EWR,2020-02-14 02:19:00+00:00,488.0,2020-02-13,0 days 01:30:00,DL,2.0,2020-02-14 00:49:00+00:00,DTW,1.0,N961AT,7.0,21.0,2110.0,2212.0,2020.0,109457.0
107,1348.0,6.0,29.0,MSP,2020-02-29 18:28:00+00:00,1029.0,2020-02-29,0 days 02:54:00,DL,2.0,2020-02-29 15:34:00+00:00,JFK,1.0,N344NB,3.0,18.0,1152.0,1325.0,2020.0,91769.0
108,2152.0,6.0,29.0,MSP,2020-03-01 02:25:00+00:00,1029.0,2020-02-29,0 days 03:02:00,DL,2.0,2020-02-29 23:23:00+00:00,JFK,1.0,N990AT,5.0,20.0,1943.0,2120.0,2020.0,90742.0
0,1056.0,6.0,1.0,JFK,2020-02-01 14:47:00+00:00,1029.0,2020-02-01,0 days 02:43:00,DL,2.0,2020-02-01 12:04:00+00:00,MSP,1.0,N943AT,8.0,29.0,733.0,1039.0,2020.0,49203.0
1,1406.0,6.0,1.0,JFK,2020-02-01 17:45:00+00:00,1029.0,2020-02-01,0 days 02:26:00,DL,2.0,2020-02-01 15:19:00+00:00,MSP,1.0,N960AT,5.0,11.0,1030.0,1340.0,2020.0,48630.0
85,1919.0,6.0,29.0,SEA,2020-03-01 01:45:00+00:00,2422.0,2020-02-29,0 days 05:57:00,DL,2.0,2020-02-29 19:48:00+00:00,JFK,1.0,N713TW,11.0,16.0,1604.0,1834.0,2020.0,91955.0
86,2153.0,6.0,29.0,SEA,2020-03-01 04:27:00+00:00,2422.0,2020-02-29,0 days 06:00:00,DL,2.0,2020-02-29 22:27:00+00:00,JFK,1.0,N624AG,9.0,24.0,1851.0,2118.0,2020.0,91820.0
0,1554.0,6.0,1.0,JFK,2020-02-01 19:54:00+00:00,2422.0,2020-02-01,0 days 05:01:00,DL,2.0,2020-02-01 14:53:00+00:00,SEA,1.0,N712TW,10.0,24.0,817.0,1544.0,2020.0,48760.0
16,1600.0,4.0,6.0,JFK,2020-02-06 20:10:00+00:00,2422.0,2020-02-06,0 days 05:10:00,DL,2.0,2020-02-06 15:00:00+00:00,SEA,1.0,N624AG,8.0,30.0,830.0,1602.0,2020.0,77064.0
129,1715.0,6.0,29.0,DTW,2020-02-29 21:05:00+00:00,509.0,2020-02-29,0 days 01:57:00,DL,2.0,2020-02-29 19:08:00+00:00,JFK,1.0,N910AT,4.0,29.0,1537.0,1701.0,2020.0,90223.0
130,2155.0,6.0,29.0,DTW,2020-03-01 01:38:00+00:00,509.0,2020-02-29,0 days 02:06:00,DL,2.0,2020-02-29 23:32:00+00:00,JFK,1.0,N126DU,5.0,38.0,2010.0,2133.0,2020.0,90567.0
0,1015.0,6.0,1.0,JFK,2020-02-01 14:00:00+00:00,509.0,2020-02-01,0 days 01:45:00,DL,2.0,2020-02-01 12:15:00+00:00,DTW,1.0,N111NG,9.0,25.0,840.0,951.0,2020.0,48456.0
2,1844.0,6.0,1.0,JFK,2020-02-01 23:16:00+00:00,509.0,2020-02-01,0 days 02:26:00,DL,2.0,2020-02-01 20:50:00+00:00,DTW,1.0,N120DU,21.0,42.0,1732.0,1855.0,2020.0,48964.0
114,1857.0,6.0,29.0,MIA,2020-02-29 22:31:00+00:00,1089.0,2020-02-29,0 days 02:58:00,DL,2.0,2020-02-29 19:33:00+00:00,JFK,1.0,N384DN,8.0,20.0,1553.0,1823.0,2020.0,91733.0
115,2247.0,6.0,29.0,MIA,2020-03-01 02:39:00+00:00,1089.0,2020-02-29,0 days 03:16:00,DL,2.0,2020-02-29 23:23:00+00:00,JFK,1.0,N390DN,8.0,41.0,2004.0,2231.0,2020.0,91984.0
0,1026.0,6.0,1.0,JFK,2020-02-01 14:10:00+00:00,1089.0,2020-02-01,0 days 02:32:00,DL,2.0,2020-02-01 11:38:00+00:00,MIA,1.0,N343DN,10.0,11.0,749.0,1000.0,2020.0,49692.0
1,1508.0,6.0,1.0,JFK,2020-02-01 18:53:00+00:00,1089.0,2020-02-01,0 days 02:39:00,DL,2.0,2020-02-01 16:14:00+00:00,MIA,1.0,N349DX,7.0,16.0,1230.0,1446.0,2020.0,48638.0
104,1434.0,6.0,29.0,FLL,2020-02-29 18:22:00+00:00,1069.0,2020-02-29,0 days 02:59:00,DL,2.0,2020-02-29 15:23:00+00:00,JFK,1.0,N360DN,8.0,21.0,1144.0,1414.0,2020.0,90960.0
105,2125.0,6.0,29.0,FLL,2020-03-01 01:01:00+00:00,1069.0,2020-02-29,0 days 02:48:00,DL,2.0,2020-02-29 22:13:00+00:00,JFK,1.0,N322DN,7.0,18.0,1831.0,2054.0,2020.0,92086.0
0,1023.0,6.0,1.0,JFK,2020-02-01 14:01:00+00:00,1069.0,2020-02-01,0 days 02:30:00,DL,2.0,2020-02-01 11:31:00+00:00,FLL,1.0,N364DX,8.0,13.0,744.0,953.0,2020.0,49669.0
3,2325.0,6.0,1.0,JFK,2020-02-02 03:01:00+00:00,1069.0,2020-02-01,0 days 02:31:00,DL,2.0,2020-02-02 00:30:00+00:00,FLL,1.0,N337DN,10.0,16.0,2046.0,2251.0,2020.0,49335.0
179,1511.0,6.0,29.0,SFO,2020-02-29 21:59:00+00:00,2586.0,2020-02-29,0 days 06:38:00,DL,2.0,2020-02-29 15:21:00+00:00,JFK,1.0,N711ZX,15.0,17.0,1138.0,1444.0,2020.0,90222.0
180,1945.0,6.0,29.0,SFO,2020-03-01 02:42:00+00:00,2586.0,2020-02-29,0 days 06:22:00,DL,2.0,2020-02-29 20:20:00+00:00,JFK,1.0,N712TW,6.0,16.0,1636.0,1936.0,2020.0,90310.0
181,2323.0,6.0,29.0,SFO,2020-03-01 05:34:00+00:00,2586.0,2020-02-29,0 days 06:15:00,DL,2.0,2020-02-29 23:19:00+00:00,JFK,1.0,N727TW,6.0,21.0,1940.0,2228.0,2020.0,90470.0
0,1438.0,6.0,1.0,JFK,2020-02-01 18:33:00+00:00,2586.0,2020-02-01,0 days 05:29:00,DL,2.0,2020-02-01 13:04:00+00:00,SFO,1.0,N711ZX,11.0,15.0,619.0,1422.0,2020.0,48272.0
1,1647.0,6.0,1.0,JFK,2020-02-01 21:02:00+00:00,2586.0,2020-02-01,0 days 05:36:00,DL,2.0,2020-02-01 15:26:00+00:00,SFO,1.0,N624AG,8.0,22.0,848.0,1654.0,2020.0,49057.0
25,2015.0,3.0,5.0,JFK,2020-02-06 00:53:00+00:00,2586.0,2020-02-05,0 days 05:22:00,DL,2.0,2020-02-05 19:31:00+00:00,SFO,1.0,N717TW,11.0,20.0,1251.0,2042.0,2020.0,73531.0
30,1430.0,6.0,29.0,PBI,2020-02-29 18:23:00+00:00,1028.0,2020-02-29,0 days 03:02:00,DL,2.0,2020-02-29 15:21:00+00:00,JFK,1.0,N111NG,5.0,29.0,1150.0,1418.0,2020.0,90238.0
0,1601.0,6.0,1.0,JFK,2020-02-01 19:42:00+00:00,1028.0,2020-02-01,0 days 02:27:00,DL,2.0,2020-02-01 17:15:00+00:00,PBI,1.0,N330NW,7.0,12.0,1327.0,1535.0,2020.0,48056.0
170,1015.0,6.0,29.0,MSP,2020-02-29 14:47:00+00:00,1020.0,2020-02-29,0 days 02:48:00,DL,2.0,2020-02-29 11:59:00+00:00,LGA,1.0,N336DX,6.0,15.0,814.0,941.0,2020.0,91528.0
171,1348.0,6.0,29.0,MSP,2020-02-29 18:21:00+00:00,1020.0,2020-02-29,0 days 02:52:00,DL,2.0,2020-02-29 15:29:00+00:00,LGA,1.0,N394DX,5.0,20.0,1149.0,1316.0,2020.0,91012.0
172,1656.0,6.0,29.0,MSP,2020-02-29 21:21:00+00:00,1020.0,2020-02-29,0 days 02:43:00,DL,2.0,2020-02-29 18:38:00+00:00,LGA,1.0,N302NB,6.0,11.0,1449.0,1615.0,2020.0,90458.0
0,1045.0,6.0,1.0,LGA,2020-02-01 14:27:00+00:00,1020.0,2020-02-01,0 days 02:32:00,DL,2.0,2020-02-01 11:55:00+00:00,MSP,1.0,N374DX,7.0,15.0,710.0,1020.0,2020.0,49168.0
4,1342.0,7.0,2.0,LGA,2020-02-02 17:27:00+00:00,1020.0,2020-02-02,0 days 02:15:00,DL,2.0,2020-02-02 15:12:00+00:00,MSP,1.0,N336DX,9.0,12.0,1024.0,1318.0,2020.0,51056.0
